City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
201,brookings,44.3114,-96.7984,6.87,55,8,3.74,US,1713755983
202,mafraq,32.3333,37.9167,15.81,27,0,4.33,JO,1713755984
203,college,64.8569,-147.8028,6.4,83,85,1.24,US,1713755984
204,bovalino,38.149,16.174,11.02,86,100,2.02,IT,1713755984
205,suva,-18.1416,178.4415,29.64,73,87,5.87,FJ,1713755827
206,santa cruz,-17.8,-63.1667,24.76,83,85,3.63,BO,1713755730
207,fukuecho,32.6881,128.8419,16.86,88,100,1.62,JP,1713755985
208,stanthorpe,-28.6667,151.95,18.07,61,37,7.12,AU,1713755985
209,kununurra,-15.7667,128.7333,30.53,22,9,6.19,AU,1713755985
210,alice springs,-23.7,133.8833,22.67,36,100,8.74,AU,1713755986
211,west island,-12.1568,96.8225,27.05,83,64,10.35,CC,1713755986
212,pamandzi,-12.7967,45.2794,28.21,75,95,2.94,YT,1713755986
213,tralee,52.2704,-9.7026,8.72,91,90,0.49,IE,1713755986
214,utebo,41.7139,-0.9949,8.69,62,0,12.01,ES,1713755987
215,crane,31.3974,-102.3501,13.89,59,91,2.41,US,1713755987
216,douz,33.4663,9.0203,14.53,60,91,9.24,TN,1713755987
217,pangody,65.85,74.4859,-18.16,94,89,6.36,RU,1713755987
218,jalqani,12.4486,34.2186,29.54,16,46,1.44,SD,1713755987
219,saint-philippe,-21.3585,55.7679,25.77,81,2,2.05,RE,1713755988
220,isangel,-19.55,169.2667,28.17,79,87,4.46,VU,1713755988
221,sal rei,16.1833,-22.9167,21.98,70,82,5.53,CV,1713755988
222,hermanus,-34.4187,19.2345,14.83,87,1,3.69,ZA,1713755989
223,lycksele,64.5954,18.6735,-15.6,100,100,1.72,SE,1713755989
224,el negrito,15.3167,-87.7,23.9,92,2,0.83,HN,1713755989
225,konarka,19.9,86.1167,34.84,43,100,1.6,IN,1713755989
226,udachny,66.4167,112.4,1.07,100,100,3.99,RU,1713755990
227,garissa,-0.4536,39.6401,26.08,76,100,4.35,KE,1713755990
228,robertsport,6.7533,-11.3686,26.86,86,100,3.45,LR,1713755990
229,greymouth,-42.4667,171.2,13.7,82,98,1.98,NZ,1713755990
230,tambacounda,13.7539,-13.7586,27.41,30,99,3.22,SN,1713755991
231,lihue,21.9789,-159.3672,22.8,71,41,6.56,US,1713755991
232,krasnokamensk,50.0979,118.0369,4.13,74,98,8.48,RU,1713755991
233,dalbandin,28.8947,64.4101,24.15,18,0,0.49,PK,1713755991
234,invercargill,-46.4,168.35,11.22,60,12,5.05,NZ,1713755992
235,kalabo,-14.97,22.6814,16.81,53,0,2.47,ZM,1713755992
236,dumas,35.8656,-101.9732,9.16,59,7,5.37,US,1713755992
237,thompson,55.7435,-97.8558,-0.6,97,100,1.87,CA,1713755992
238,nuku'alofa,-21.1333,-175.2,26.28,75,100,4.6,TO,1713755993
239,yoakum,29.2878,-97.1519,14.63,76,9,3.92,US,1713755993
240,ketchikan,55.3422,-131.6461,8.47,90,94,1.95,US,1713755993
241,bestobe,52.4994,73.0975,16.18,51,7,7.42,KZ,1713755993
242,huayin,34.5675,110.0921,25.31,47,100,2.06,CN,1713755994
243,luderitz,-26.6481,15.1594,17.27,68,28,3.18,NA,1713755994
244,kruisfontein,-34.0033,24.7314,17.19,95,100,4.07,ZA,1713755994
245,arraial do cabo,-22.9661,-42.0278,23.41,74,0,7.25,BR,1713755994
246,talnakh,69.4865,88.3972,-13.75,90,99,2.18,RU,1713755995
247,kataba,13.9833,44.3833,15.75,82,100,0.3,YE,1713755995
248,tidjikja,18.5564,-11.4271,26.95,18,37,3.17,MR,1713755995
249,hadithah,34.1397,42.3781,21.8,41,51,5.54,IQ,1713755995
250,labuan,5.2767,115.2417,27.54,78,100,2.92,MY,1713755995
